adjective,chinese,definition,perspective
repulsive,令人反感的,引起强烈反感的言论内容，如极端歧视性表达或令人不适的侮辱性语言。,toxicity
offending,冒犯的,可能冒犯或得罪他人的言论，如使用不当用语、触及敏感话题。,toxicity
insulting,侮辱性的,旨在侮辱或冒犯他人的言论，如直接使用脏话、侮辱性称呼攻击对方。,toxicity
inappropriate,不适当的,不符合社会规范或场合的言论，如在不当语境中使用粗俗语言或攻击性表达。,toxicity
derogatory,贬义的,"带有负面或侮辱性含义的言辞，如使用""婊子""""龟男""等贬义词汇攻击他人。",toxicity
devaluing,贬低价值的,通过言辞降低他人或群体的价值，如否定某群体的贡献、能力或存在意义。,toxicity
humiliating,羞辱性的,旨在使他人蒙羞或丢脸的言论，如公开嘲讽对方缺陷、恶意揭短。,toxicity
uncivilized,不文明的,以粗鲁或不文明方式表达的言论，如使用脏话、人身攻击、缺乏基本社交礼仪。,toxicity
disrespectful,不尊重的,表现出对他人缺乏基本尊重的言论，如打断对方、无视对方感受、使用轻蔑语气。,toxicity
conflictual,冲突性的,容易引发或加剧对立冲突的言论，如故意激化矛盾、制造群体间对立情绪。,toxicity
prejudiced,有偏见的,基于先入为主的偏见评判他人或群体的言论，如对特定地域人群持有刻板负面印象。,toxicity
discriminatory,歧视性的,基于种族、性别、地域、宗教等特征对群体进行不公平对待。,toxicity
belittling,贬低的,"通过言语使他人感到渺小或无价值，如嘲讽对方""你算什么东西""。",toxicity
disgusting,令人厌恶的,"使用强烈厌恶措辞评价他人或事物，如""恶心""""令人作呕""。",toxicity
contemptuous,蔑视的,"表现出强烈不尊重或鄙视的态度，如用""你配吗""""就你？""等话语贬低他人。",toxicity
degrading,有辱人格的,"降低他人尊严或价值的言论，如用""畜生""""蛆""等非人化称呼贬低他人。",toxicity
stirring up conflict,煽动冲突的,故意煽动或加剧群体间冲突的言论，如挑拨地域矛盾、激化性别对立。,toxicity
vulgar,粗俗的,使用粗俗或不雅语言的言论，如脏话、低俗表达、不当性暗示。,toxicity
harmful,有害的,可能造成情感、心理或社会伤害的言论。,toxicity
provocative,挑衅性的,具有挑衅或煽动性的言论，如故意激怒对方、提出争议性观点以引发冲突。,toxicity
abusive,辱骂性的,"使用侮辱性词语谩骂他人，如直接使用""傻逼""""废物""等脏话进行人身攻击。",toxicity
dehumanizing,非人化的,"将他人视为低等生物或非人类，如称特定群体为""虫""""动物""。",toxicity
