adjective,chinese,definition
abusive,辱骂性的,"使用侮辱性词语谩骂、辱骂他人，如直接使用""傻逼""""废物""""畜生""等脏话进行人身攻击的言论。需注意中文网络中辱骂常以谐音变体出现，如""sb""""伞兵""""莎比""等。"
age discriminatory,年龄歧视的,"基于年龄对他人进行区别对待或贬低的言论，如嘲笑老年人观念落后、歧视年轻人缺乏经验、对中年人使用""油腻""标签等。需注意年龄歧视常与代际攻击交织。"
aggressive,攻击性的,言辞中带有强制、对抗或敌意，试图通过语言压制或威胁他人，如挑衅、叫嚣、威胁对方。涵盖直接对抗、充满火药味的指责等表现形式，注意区分激烈辩论与恶意攻击。
anti-feminist,反女权的,"反对女性权益主张的言论，如嘲讽女权运动、将女权主义者标签化为""女拳""""小仙女""等带有贬义的称呼。需注意反女权言论常以""理性""包装，实则含有系统性偏见。"
belittling,贬低的,"通过言语使他人感到渺小或无价值，如嘲讽对方""你算什么东西""""就你那水平也配说话""等言论。贬低可表现为直接否定能力、价值，也可通过对比暗示对方不如他人。"
body shaming,身体羞辱的,"基于他人身体特征进行嘲笑或贬低，如嘲笑体型""坦克""""肥猪""、攻击外貌""歪瓜裂枣""的言论。需注意中文网络中身体羞辱常以""坦克""指代胖女性、以""竹竿""指代瘦弱者等隐喻形式出现。"
bullying,欺凌性的,"通过反复的言语威胁、侮辱或压迫来伤害他人，如持续针对某人进行辱骂、""网暴""等具有压迫性的言论。欺凌具有重复性、针对性、权力不对等特征。"
chauvinistic,沙文主义的,表现出自身群体优越感并贬低其他群体的言论，如宣扬本民族/性别/地域的绝对优越性并歧视他人。在中文语境中常见于极端民族主义、大汉族主义、性别沙文主义等表现形式。
condescending,居高临下的,"表现出优越感并轻视他人的态度，如以教导口吻说""你这种人懂什么""，带有隐性不尊重。需注意居高临下常以""为你好""的包装出现，实则否定对方自主性。"
conflictual,冲突性的,容易引发或加剧对立冲突的言论，如故意激化矛盾、制造群体间对立情绪的内容。需注意冲突性言论可能表面中立，但通过选择性呈现信息或暗示性措辞激化对立。
contemptuous,蔑视的,"表现出强烈不尊重或鄙视的态度，如用""你配吗""""就你？""等话语贬低他人价值和尊严。蔑视比轻视更强烈，常伴随对他人人格的根本性否定。"
dangerous,危险的,可能煽动暴力、传播仇恨或导致严重社会危害的言论，如鼓动极端行为、威胁他人安全。需注意危险言论的判断需考虑传播范围、影响力及实际危害可能性。
defamatory,诽谤性的,"故意传播虚假信息损害他人名誉，如编造谣言攻击他人、恶意造谣中伤的言论。在中文网络中常见形式包括""扒皮""""实锤""（未经证实的指控）、恶意P图造谣等。"
degrading,有辱人格的,"降低他人尊严或价值的言论，如用""畜生""""蛆""""寄生虫""等非人化称呼贬低他人。需注意中文网络中""蛆""""蟑螂""等非人化隐喻常被用于群体性贬低。"
dehumanizing,非人化的,"将他人视为低等生物或非人类，如称特定群体为""虫""""动物""""类人猿""，为更严重的歧视和暴力铺路。非人化是仇恨言论升级的关键信号，需警惕从""不配做人""到""应该被消灭""的递进。"
derogatory,贬义的,"带有负面或侮辱性含义的言辞，如使用""婊子""""龟男""""幕刃""等贬义词汇攻击他人。需注意中文网络中贬义词常以谐音变体出现，如""幕刃""（母人）、""蝻""（男）等规避审查的暗语。"
despicable,可鄙的,"表达对他人极其强烈的谴责和厌恶，语气极端，常伴随人身攻击和侮辱性评价。在中文语境中常以""下作""""卑鄙""""无耻之尤""等表达，需区分对行为的正当谴责与对人格的恶意攻击。"
destructive,破坏性的,"旨在破坏社会秩序、群体关系或人际信任的言论，如散布恐慌、挑拨群体关系。需注意破坏性言论可能以""揭露真相""的名义出现，实则意在制造混乱和分裂。"
discriminatory,歧视性的,基于种族、性别、地域、宗教等特征对群体进行不公平对待，如地域黑、性别歧视、种族偏见等言论。歧视可以是显性的直接排斥，也可以是隐性的刻板印象强化。
disgusting,令人厌恶的,"使用强烈厌恶措辞评价他人或事物，如""恶心""""令人作呕""，需结合语境判断是否构成仇恨表达。在中文网络中""恶心""一词既可用于表达正当反感，也可作为攻击性标签使用。"
