name,definition
攻击性的,言辞中带有强制、对抗或敌意，试图通过语言压制或威胁他人
侮辱性的,旨在侮辱或冒犯他人的言论，如直接使用脏话、侮辱性称呼攻击对方
威胁性的,包含威胁或恐吓内容的言论，如威胁他人人身安全、暗示将实施报复
辱骂的,使用侮辱性词语谩骂他人，如直接使用脏话进行人身攻击
挑衅性的,具有挑衅或煽动性的言论，如故意激怒对方、提出争议性观点以引发冲突
歧视性的,基于种族、性别、地域等特征对群体进行不公平对待或贬低
偏见的,基于先入为主的偏见评判他人或群体的言论
刻板的,对特定群体持有固定不变的模式化看法，如性别刻板印象、地域刻板印象
排斥的,试图将特定群体排除在外的言论，如滚回你的地方去、这里不欢迎你们
贬低的,通过言语使他人感到渺小或无价值，如嘲讽对方你算什么东西
嘲笑的,以嘲讽或嘲笑方式表达的言论，如用讽刺语气贬低对方
蔑视的,表现出强烈不尊重或鄙视的态度，如用你配吗就你等话语贬低他人
物化的,将他人视为物品或工具而非完整的人，如将女性物化为性对象
标签化的,使用标签或帽子攻击对方，如将他人标签化为女拳小仙女等
煽动性的,具有煽动情绪、激化矛盾性质的言论，如故意激怒对方、制造对立情绪
挑拨的,故意挑拨不同群体之间互相敌视和攻击的言论
引战的,故意发表争议性言论引发争吵或混乱的行为
带节奏的,故意引导舆论方向、操控讨论走向的言论
愤怒的,表达强烈愤怒情绪的言论，语气激烈充满火药味
厌恶的,使用强烈厌恶措辞评价他人或事物，如恶心令人作呕
仇恨的,表现出对特定群体强烈仇恨或敌意的言论
怨恨的,表达长期积压的不满、怨恨情绪，语气带苦涩
直接的,以直接明确的方式表达攻击或侮辱，不使用隐晦手法
隐晦的,以间接、含蓄的方式表达敌意或偏见，不易被直接识别
反讽的,使用反讽或挖苦手法表达的言论，表面意思与真实意图相反
阴阳怪气的,含蓄、讽刺地表达负面情绪，表面恭维实则贬低
夸张的,使用夸张手法放大负面特征或制造对立情绪
扣帽子的,使用标签或帽子攻击对方，给对方贴上带有贬义的标签
地域黑的,基于地域对他人进行刻板印象评价或贬低
捧杀的,表面赞美实则贬低的言论，通过过度吹捧使对方陷入困境
站队的,表现出强烈的阵营对立态度，非此即彼地划分敌我
针对个人的,针对特定个人进行攻击的言论
针对群体的,针对特定群体身份进行攻击的言论
冒犯的,可能冒犯或得罪他人的言论，如使用不当用语、触及敏感话题
粗俗的,使用粗俗或不雅语言的言论，如脏话、低俗表达
下流的,包含淫秽或色情内容的言论，如使用露骨性语言
恶意的,具有明确恶意意图的言论，如故意伤害他人、蓄意传播谣言
破坏性的,旨在破坏社会秩序、群体关系或人际信任的言论
分裂性的,试图分裂群体或制造对立的言论
误导性的,故意传播虚假信息或歪曲事实的言论
性别偏见的,基于性别进行刻板印象评价或贬低的言论
性骚扰的,通过性行为或言论骚扰他人，包含性暗示或性化攻击
物化女性的,将女性视为性对象或工具而非完整的人的言论
厌女的,表现出对女性厌恶、偏见或歧视的言论
种族偏见的,基于种族表现出偏见、歧视或仇恨的言论
排外的,对外国人或外来群体表现出排斥或敌意的言论
民族主义的,表现出极端民族主义立场并排斥外国人的言论
非人化的,将他人视为低等生物或非人类，如称特定群体为虫动物
恐吓的,试图通过言辞恐吓或威胁他人的言论
羞辱性的,旨在使他人蒙羞或丢脸的言论
骚扰性的,持续针对某人进行骚扰性言论攻击
暴力的,包含暴力内容或煽动暴力的言论
极端的,主张极端或激进观点的言论
受害者有罪论的,将责任归咎于受害者的言论
煤气灯操纵的,通过扭曲事实、否认现实来操控他人认知的言论
伪关心的,假装关心实则引战或操控的言论
