name,type,category,definition,prompt_template
辱骂性的,behavior,direct,使用脏话或粗俗词语谩骂他人，如直接使用"傻逼""废物""畜生"等脏话进行人身攻击的言论。,behavior
威胁性的,behavior,direct,暗示将对他人人身安全、利益或声誉实施不利行为的言论，如扬言报复、暗示将施加身体伤害。,behavior
强奸威胁的,behavior,direct,以性暴力方式暗示将对他人实施性侵害的言论，如"把你强奸了""轮了你"。,behavior
怂恿自杀的,behavior,direct,诱导、鼓励或催促他人结束生命的言论，如"你去死吧""活着也是浪费""怎么还不跳楼"。,behavior
欺凌性的,behavior,direct,利用权力不对等关系，通过反复言语压迫使对方处于弱势地位，如持续针对某人进行辱骂、"网暴"等具有压迫性的言论。,behavior
人肉搜索的,behavior,direct,公开他人隐私信息或煽动群体集体挖掘、曝光他人真实身份和私人信息的言论。,behavior
诽谤性的,behavior,direct,故意传播虚假信息损害特定个人名誉，如编造谣言攻击他人、恶意造谣中伤的言论。与"造谣传谣的"不同：诽谤以损害特定个人名誉为目的，造谣可针对群体或事件。,behavior
侮辱性的,behavior,direct,使用贬损性、冒犯性言辞攻击他人人格或身份的言论，如以轻蔑称呼攻击对方，造成明确的尊严损害。,behavior
骚扰性的,behavior,direct,持续针对特定个人进行重复性、侵扰性言论攻击，如反复辱骂、人身威胁、恶意提及，具有重复性和针对性。,behavior
网络霸凌的,behavior,direct,由多人或有组织地在网络上持续攻击、孤立特定个人，具有群体施暴特征的言论，如组织网暴、恶意刷屏攻击。,behavior
猎巫式的,behavior,direct,煽动集体攻击或迫害特定个人的言论，如号召网友一起攻击某人"扒皮"。,behavior
父母羞辱的,behavior,direct,攻击对方父母或家庭的言论，如"没教养""你爸妈怎么教你的""全家死光"。,behavior
取消文化的,behavior,direct,通过集体行动封杀或抵制特定个人的言论，如"让他社死""全网封杀"。,behavior
沉默对方的,behavior,direct,通过言语暴力使特定群体不敢发言，压制异见表达的言论，如"闭嘴吧你""你不配说话""我们不想听你的"。,behavior
美化暴力的,behavior,direct,为暴力行为粉饰、辩护或赞扬的言论，如为家暴辩护、赞扬打砸抢烧行为、鼓吹暴力解决问题。,behavior
宣扬攻击性的,behavior,direct,鼓励或支持对他人实施暴力、报复等侵害行为的言论，如煽动他人实施暴力、赞同报复性攻击。,behavior
极端主义的,behavior,direct,支持或宣扬激进排他理念（如种族清洗、性别灭绝）的言论。,behavior
煽动冲突的,behavior,direct,故意挑起或加剧群体间敌对情绪与冲突的言论，如挑拨地域矛盾、激化性别对立、制造族群敌意。,behavior
激将挑衅的,behavior,direct,使用刺激性言辞蓄意激怒他人做出极端反应的言论，如"有种你就XX""你敢吗"。,behavior
构陷诬告的,behavior,direct,故意捏造事实或歪曲真相使他人受到不公正指责的言论，如栽赃嫁祸、无中生有的指控。,behavior
恶意举报的,behavior,direct,出于报复或害人目的滥用举报机制打击他人的言论，如"我已举报你""大家一起举报他"。,behavior
性骚扰性的,behavior,direct,对他人进行不受欢迎的性暗示、性评论或性要求的言论，如对他人身体部位进行不当评论、发送性骚扰信息，与"强奸威胁的"不同，侧重于骚扰性性评论而非暴力威胁。,behavior
造谣传谣的,behavior,direct,编造或故意传播未经证实的虚假信息以误导公众的言论。与"诽谤性的"不同：诽谤针对特定个人名誉损害，造谣可针对群体或事件，影响范围更广。,behavior
抢占话语权的,behavior,direct,通过反复打断、刷屏或高声量发言来压制对方表达空间的言论行为。与"沉默对方的"不同：沉默对方是通过言语暴力使其不敢发言，抢占话语权侧重于争夺和占据发言空间。,behavior
恶意艾特的,behavior,direct,故意@或艾特对方使其暴露在攻击环境中，或恶意@大量用户围攻某人的言论行为，如故意@对方让其被粉丝攻击、组织性地@特定人群施压。,behavior
控评的,behavior,direct,有组织地批量发布同质化评论以操控舆论方向、压制异见，如饭圈控评、刷好评/差评淹没有效评论、组织水军引导舆论。,behavior
反串黑的,behavior,direct,伪装成对方阵营成员发表极端言论以嫁祸抹黑该立场，如冒充某群体发言者说出格言论使其被厌恶。,behavior
贴标签的,strategy,indirect,用贬损性概括语替代论证，将复杂个体简化为负面刻板称呼的言论，如称对方为"拳师""蝈男""小仙女"等。,strategy
阴阳怪气的,strategy,indirect,表面恭维实则暗讽，使用反话或虚假赞美包装贬低的言论，如"您可真厉害""不愧是您啊"等反语表达。,strategy
钓鱼引战的,strategy,indirect,故意发表争议性言论引发争吵或混乱的行为，如"我就是来引战的""看你们互撕真有趣"。,strategy
伪关心引战的,strategy,indirect,以虚假关心为伪装挑起争端，而非直接挑衅或发表争议性言论。与"钓鱼引战的"不同：钓鱼引战是直接发表争议言论引战，伪关心引战以"为你好"等关心话术为伪装，隐蔽性更强。,strategy
